id_anon,exclude,shapes,image,sound,sel_sound,congruent,rt
1,0,1,bouba_01.png,1angry2sad.wav,1,0,25.1696
2,1,1,kiki_01.png,1sad2angry.wav,2,1,16.8786
3,0,1,kiki_01.png,1angry2sad.wav,1,1,13.6362
4,0,1,bouba_01.png,1angry2sad.wav,2,1,12.6991
5,0,1,bouba_01.png,1sad2angry.wav,1,1,14.8371
6,0,1,kiki_01.png,1sad2angry.wav,2,1,15.1506
7,1,2,bouba_02.png,1angry2sad.wav,2,1,13.7716
8,0,2,kiki_02.png,1sad2angry.wav,2,1,12.3645
9,0,2,kiki_02.png,1angry2sad.wav,1,1,13.1485
10,0,2,bouba_02.png,1sad2angry.wav,1,1,13.409
11,0,2,bouba_02.png,1angry2sad.wav,2,1,12.6128
12,0,1,kiki_01.png,1angry2sad.wav,1,1,4.8894
13,0,1,bouba_01.png,1sad2angry.wav,1,1,13.2769
14,0,2,bouba_02.png,1angry2sad.wav,1,0,18.6269
15,0,2,kiki_02.png,1sad2angry.wav,2,1,11.8258
16,0,1,bouba_01.png,1angry2sad.wav,2,1,11.0961
17,0,1,bouba_01.png,1sad2angry.wav,1,1,14.9624
18,0,2,kiki_02.png,1sad2angry.wav,2,1,34.616
19,0,2,kiki_02.png,1sad2angry.wav,2,1,12.6508
20,0,2,kiki_02.png,1angry2sad.wav,2,0,15.3691
21,0,2,kiki_02.png,1sad2angry.wav,2,1,15.1624
22,0,2,bouba_02.png,1sad2angry.wav,1,1,12.3915
23,0,2,kiki_02.png,1angry2sad.wav,2,0,15.4417
24,0,2,bouba_02.png,1angry2sad.wav,2,1,13.5208
25,0,2,bouba_02.png,1angry2sad.wav,1,0,13.0494
26,0,2,kiki_02.png,1angry2sad.wav,1,1,12.1274
27,0,2,kiki_02.png,1angry2sad.wav,1,1,12.0257
28,0,1,kiki_01.png,1sad2angry.wav,2,1,13.5621
29,0,2,bouba_02.png,1sad2angry.wav,1,1,14.062
30,0,2,bouba_02.png,1sad2angry.wav,1,1,34.4421
31,0,1,bouba_01.png,1angry2sad.wav,2,1,15.5945
32,0,1,bouba_01.png,1angry2sad.wav,1,0,16.3832
33,1,1,bouba_01.png,1angry2sad.wav,2,1,19.7247
34,0,1,kiki_01.png,1sad2angry.wav,2,1,16.0658
35,0,1,kiki_01.png,1angry2sad.wav,1,1,12.5094
36,0,2,kiki_02.png,1angry2sad.wav,1,1,12.6638
37,0,1,kiki_01.png,1angry2sad.wav,1,1,15.308
38,0,2,kiki_02.png,1angry2sad.wav,2,0,15.2115
39,0,1,bouba_01.png,1sad2angry.wav,1,1,14.3343
40,0,2,bouba_02.png,1sad2angry.wav,1,1,12.897
41,0,1,kiki_01.png,1angry2sad.wav,2,0,15.3503
42,0,2,kiki_02.png,1sad2angry.wav,2,1,9.1888
43,0,1,kiki_01.png,1sad2angry.wav,1,0,13.2855
44,0,2,bouba_02.png,1sad2angry.wav,1,1,12.495
45,0,2,kiki_02.png,1angry2sad.wav,1,1,13.5978
46,0,1,kiki_01.png,1sad2angry.wav,2,1,13.6433
47,0,1,kiki_01.png,1angry2sad.wav,1,1,12.3951
48,1,2,kiki_02.png,1sad2angry.wav,1,0,19.0385
49,0,2,bouba_02.png,1angry2sad.wav,2,1,12.4239
50,0,2,bouba_02.png,1angry2sad.wav,2,1,36.1848
51,0,2,bouba_02.png,1sad2angry.wav,1,1,14.683
52,0,1,kiki_01.png,1sad2angry.wav,2,1,13.2839
53,0,1,bouba_01.png,1angry2sad.wav,2,1,13.0013
54,0,1,bouba_01.png,1sad2angry.wav,1,1,15.5709
55,0,1,kiki_01.png,1angry2sad.wav,1,1,12.9678
56,0,1,bouba_01.png,1sad2angry.wav,1,1,15.2816
57,0,2,kiki_02.png,1angry2sad.wav,1,1,19.9243
58,0,1,bouba_01.png,1sad2angry.wav,1,1,13.9093
59,0,1,kiki_01.png,1angry2sad.wav,1,1,11.0351
60,0,1,kiki_01.png,1sad2angry.wav,2,1,13.2593
61,0,2,bouba_02.png,1angry2sad.wav,2,1,13.2711
62,0,1,bouba_01.png,1angry2sad.wav,2,1,15.8076
63,0,2,kiki_02.png,1sad2angry.wav,2,1,24.1482
64,0,2,kiki_02.png,1sad2angry.wav,1,0,13.261